,0
0,0.76
1,0.8
2,0.88
3,0.84
4,0.96
5,0.92
6,0.8
7,0.96
8,0.96
9,0.96
10,0.96
11,0.92
12,0.96
13,0.92
14,0.88
15,0.88
16,0.88
17,0.92
18,0.88
19,0.88
20,0.76
21,0.96
22,0.92
23,0.92
24,0.88
25,0.76
26,0.92
27,0.88
28,0.76
29,0.92
30,0.92
31,0.88
32,0.88
33,0.88
34,0.88
35,0.72
36,0.72
37,0.84
38,0.8
39,0.96
40,0.88
41,0.8
42,0.84
43,0.96
44,1.0
45,0.92
46,1.0
47,0.92
48,0.84
49,0.84
50,0.96
51,0.92
52,0.92
53,0.8
54,0.96
55,0.88
56,0.92
57,0.92
58,0.92
59,0.88
60,1.0
61,0.92
62,0.92
63,0.88
64,0.84
65,0.92
66,0.96
67,0.84
68,0.84
69,0.84
70,1.0
71,0.92
72,0.88
73,0.88
74,0.96
75,0.96
76,0.8
77,0.84
78,0.92
79,0.84
80,0.88
81,0.8
82,0.84
83,0.76
84,1.0
85,0.96
86,0.92
87,0.88
88,0.76
89,0.92
90,0.96
91,0.84
92,0.92
93,0.8
94,1.0
95,0.8
96,0.84
97,0.88
98,0.8
99,0.88
100,0.92
101,0.92
102,0.88
103,0.84
104,0.8
105,0.8
106,0.88
107,0.92
108,0.84
109,0.96
110,0.92
111,0.88
112,0.72
113,0.76
114,0.96
115,0.88
116,0.96
117,0.96
118,0.88
119,0.96
120,0.92
121,0.8
122,0.88
123,0.88
124,0.88
125,0.84
126,0.84
127,0.92
128,0.88
129,0.84
130,0.92
131,0.84
132,0.92
133,0.84
134,0.84
135,0.8
136,0.92
137,0.8
138,0.96
139,0.84
140,0.96
141,0.88
142,0.92
143,0.88
144,0.88
145,0.8
146,0.84
147,0.96
148,0.92
149,0.96
150,0.92
151,0.92
152,0.92
153,0.76
154,0.84
155,1.0
156,0.68
157,0.84
158,0.92
159,1.0
160,0.92
161,0.92
162,0.8
163,0.84
164,0.92
165,0.76
166,0.84
167,0.92
168,0.76
169,0.88
170,0.88
171,0.88
172,0.92
173,0.96
174,0.88
175,1.0
176,0.92
177,0.84
178,0.92
179,0.76
180,0.88
181,0.88
182,0.88
183,0.84
184,0.88
185,0.84
186,0.84
187,0.92
188,0.88
189,0.96
190,0.8
191,0.96
192,0.92
193,0.88
194,0.96
195,0.88
196,0.88
197,0.92
198,0.8
199,0.8
200,0.88
