,0
0,0.72
1,0.92
2,0.72
3,0.8
4,0.88
5,1.0
6,0.96
7,0.92
8,0.88
9,0.96
10,0.92
11,0.88
12,1.0
13,0.92
14,0.92
15,0.88
16,0.96
17,0.88
18,0.92
19,0.96
20,0.96
21,1.0
22,0.8
23,0.92
24,1.0
25,0.88
26,0.84
27,0.92
28,0.96
29,0.92
30,0.92
31,1.0
32,1.0
33,0.96
34,1.0
35,0.92
36,0.96
37,0.96
38,0.96
39,0.96
40,1.0
41,0.96
42,0.92
43,0.92
44,0.96
45,0.92
46,0.92
47,0.92
48,0.96
49,0.96
50,0.96
51,0.96
52,1.0
53,0.88
54,1.0
55,1.0
56,0.92
57,0.96
58,0.92
59,0.92
60,0.88
61,0.92
62,0.96
63,0.96
64,0.88
65,0.96
66,0.96
67,1.0
68,1.0
69,0.84
70,0.92
71,1.0
72,0.96
73,0.96
74,0.84
75,0.96
76,1.0
77,0.96
78,0.96
79,1.0
80,0.88
81,0.92
82,0.88
83,0.92
84,0.88
85,0.88
86,0.84
87,1.0
88,0.92
89,0.84
90,1.0
91,0.88
92,0.96
93,1.0
94,0.92
95,0.88
96,0.96
97,0.96
98,0.96
99,0.92
100,0.88
101,0.96
102,0.92
103,0.92
104,0.92
105,0.96
106,0.92
107,1.0
108,0.84
109,1.0
110,1.0
111,1.0
112,0.92
113,0.96
114,0.88
115,0.92
116,1.0
117,0.96
118,0.96
119,0.88
120,0.96
121,0.92
122,0.96
123,0.96
124,0.92
125,0.92
126,0.96
127,0.96
128,0.92
129,1.0
130,0.92
131,0.96
132,1.0
133,0.96
134,0.84
135,0.92
136,0.92
137,0.96
138,0.92
139,0.8
140,0.96
141,1.0
142,0.96
143,0.92
144,0.92
145,0.88
146,0.96
147,0.96
148,0.92
149,0.88
150,0.96
151,0.96
152,0.92
153,1.0
154,1.0
155,0.88
156,0.88
157,0.92
158,0.92
159,0.92
160,1.0
161,0.84
162,0.96
163,0.96
164,0.96
165,0.92
166,0.96
167,1.0
168,1.0
169,0.96
170,0.96
171,0.96
172,0.84
173,0.92
174,0.92
175,1.0
176,0.96
177,1.0
178,1.0
179,1.0
180,1.0
181,0.96
182,0.92
183,0.88
184,1.0
185,1.0
186,0.88
187,0.96
188,1.0
189,0.92
190,0.92
191,0.96
192,0.96
193,0.92
194,0.88
195,0.92
196,1.0
197,0.96
198,0.92
199,0.92
200,0.88
